Run;Temperature;Pressure;Particle size;Flow rate-CO2;Co-solvent;Observed yield;Predicted Yield
1;80;200;0.5;10;5;0.1289;0.1331
2;80;275;0.75;10;5;0.347;0.3604
3;60;350;0.75;10;5;0.343;0.34
4;60;275;0.75;10;0;0.25;0.2539
5;80;275;1;5;5;0.3;0.2988
6;100;275;0.75;5;5;0.262;0.3078
7;80;200;0.75;10;10;0.3025;0.3019
8;80;200;0.75;15;5;0.2225;0.2017
9;60;200;0.75;10;5;0.28;0.2566
10;100;350;0.75;10;5;0.37;0.3707
11;80;275;0.5;5;5;0.1899;0.1909
12;80;275;0.75;10;5;0.3743;0.3604
13;80;200;1;10;5;0.206;0.2048
14;100;200;0.75;10;5;0.1474;0.1531
15;80;350;0.75;15;5;0.312;0.3135
16;80;275;0.75;15;10;0.3598;0.3601
17;80;350;0.75;10;10;0.3986;0.3682
18;80;200;0.75;10;0;0.066;0.0616
19;80;275;0.5;10;0;0.145;0.1503
20;100;275;1;10;5;0.2575;0.2591
21;80;275;0.75;10;5;0.361;0.3604
22;60;275;0.75;10;10;0.3295;0.3314
23;80;275;1;10;0;0.2;0.2015
24;60;275;0.5;10;5;0.1845;0.1768
25;60;275;0.75;15;5;0.32;0.3091
26;80;275;1;15;5;0.3385;0.3362
27;100;275;0.75;15;5;0.362;0.346
28;80;275;0.75;10;5;0.3664;0.3604
29;100;275;0.75;10;10;0.424;0.4084
30;80;350;0.75;10;0;0.28;0.2802
31;80;200;0.75;5;5;0.1695;0.1695
32;100;275;0.75;10;0;0.171;0.17
33;80;275;0.75;10;5;0.372;0.3604
34;80;350;0.75;5;5;0.38;0.3374
35;80;275;0.75;5;10;0.4031;0.4117
36;80;275;0.75;10;5;0.3756;0.3604
37;80;350;1;10;5;0.405;0.3686
38;80;350;0.5;10;5;0.225;0.223
39;100;275;0.5;10;5;0.2626;0.2605
40;80;275;0.75;15;0;0.245;0.2532
41;60;275;1;10;5;0.3425;0.3436
42;80;275;0.75;5;0;0.1595;0.1599
43;80;275;1;10;10;0.38;0.3862
44;80;275;0.5;15;5;0.2025;0.2045
45;60;275;0.75;5;5;0.29;0.3452
46;80;275;0.5;10;10;0.2377;0.2441
